net,length_um
rs_inst.vj_arr\[1\]\[27\],21.26
_0408_,21.24
_0580_,21.14
_0428_,20.98
_1177_,20.86
_0636_,20.58
rs_inst.vj_arr\[4\]\[18\],20.54
_0577_,20.44
_0852_,20.44
_0486_,20.32
_0900_,20.3
_0366_,20.26
rs_inst.vj_arr\[5\]\[18\],20.14
rs_inst.vj_arr\[2\]\[6\],20.08
cdb_inst.alu_value\[22\],20.02
_0894_,19.96
net388,19.94
_0473_,19.92
_0788_,19.9
_0481_,19.78
rs_inst.vj_arr\[4\]\[13\],19.62
cdb_inst.alu_value\[8\],19.54
_0809_,19.52
rs_inst.vj_arr\[5\]\[6\],19.4
rs_inst.vj_arr\[2\]\[7\],19.36
_0584_,19.28
_0889_,19.16
_0511_,19.02
_0638_,18.96
_1053_,18.92
rs_inst.vj_arr\[2\]\[16\],18.9
net259,18.66
_0595_,18.6
_0495_,18.52
_1036_,18.52
_0154_,18.505
_0870_,18.5
_0469_,18.26
_0830_,18.24
rs_inst.vj_arr\[4\]\[12\],18.14
cdb_inst.alu_value\[12\],18.11
net292,18.06
rs_inst.vj_arr\[2\]\[26\],17.98
rs_inst.vj_arr\[5\]\[24\],17.98
rs_inst.vj_arr\[2\]\[2\],17.9
rs_inst.vj_arr\[5\]\[15\],17.86
rs_inst.vj_arr\[4\]\[16\],17.82
cdb_inst.alu_value\[15\],17.8
rs_inst.vj_arr\[6\]\[24\],17.74
_1039_,17.72
_0477_,17.6
rs_inst.vj_arr\[4\]\[26\],17.6
_0694_,17.58
_0596_,17.38
cdb_inst.alu_value\[14\],17.38
rs_inst.busy\[0\],17.38
net241,17.36
_1008_,17.26
_0792_,17.18
rs_inst.vj_arr\[1\]\[31\],17.18
rs_inst.vj_arr\[2\]\[11\],17.12
_0876_,17.02
rs_inst.vj_arr\[2\]\[25\],16.98
_0757_,16.92
_1123_,16.9
rs_inst.vj_arr\[2\]\[3\],16.9
_0878_,16.88
_0891_,16.88
net67,16.72
_0779_,16.64
_1044_,16.62
rs_inst.vj_arr\[0\]\[29\],16.48
_0887_,16.44
rs_inst.vj_arr\[6\]\[25\],16.28
cdb_inst.alu_value\[30\],16.26
_1030_,16.245
_0528_,16.24
rs_inst.vj_arr\[1\]\[20\],16.24
_0454_,16.22
net65,16.22
cdb_inst.alu_value\[27\],16.2
net325,16.18
rs_inst.vj_arr\[0\]\[26\],15.98
rs_inst.vj_arr\[6\]\[29\],15.92
rs_inst.vj_arr\[6\]\[2\],15.92
_0570_,15.88
rs_inst.vj_arr\[5\]\[29\],15.88
_0735_,15.8
rs_inst.vj_arr\[1\]\[24\],15.72
_1168_,15.64
_1212_,15.64
rs_inst.vj_arr\[6\]\[13\],15.64
cdb_inst.alu_value\[31\],15.58
rs_inst.vj_arr\[5\]\[8\],15.43
_0945_,15.38
_0815_,15.34
_0926_,15.3
cdb_inst.alu_value\[28\],15.29
rs_inst.vj_arr\[5\]\[17\],15.26
_0579_,15.24
rs_inst.vj_arr\[2\]\[12\],15.24
rs_inst.vj_arr\[6\]\[15\],15.1
_0496_,15.02
_1005_,14.915
_0118_,14.86
cdb_inst.alu_value\[23\],14.86
_1051_,14.82
rs_inst.vj_arr\[7\]\[9\],14.78
_0601_,14.64
_0885_,14.6
rs_inst.vj_arr\[7\]\[17\],14.56
_0677_,14.5
_0838_,14.48
_0724_,14.44
_0455_,14.42
rs_inst.vj_arr\[5\]\[13\],14.42
cdb_inst.alu_value\[26\],14.37
_0993_,14.36
_0840_,14.34
rs_inst.vj_arr\[1\]\[22\],14.34
cdb_inst.alu_value\[24\],14.32
_0204_,14.265
rs_inst.vj_arr\[2\]\[18\],14.22
_0263_,14.185
_0790_,14.18
rs_inst.vj_arr\[5\]\[31\],14.18
cdb_inst.alu_value\[21\],14.14
rs_inst.vj_arr\[4\]\[28\],14.14
cdb_inst.alu_value\[2\],14.12
_0539_,14.08
_0666_,14.08
_0377_,14.02
rs_inst.vj_arr\[4\]\[2\],13.8
cdb_inst.alu_value\[3\],13.78
_0753_,13.76
_0772_,13.66
_0475_,13.54
_0563_,13.52
_0765_,13.5
_0925_,13.5
rs_inst.vj_arr\[2\]\[5\],13.4
_0715_,13.38
rs_inst.vj_arr\[7\]\[2\],13.38
_0457_,13.32
rs_inst.vj_arr\[7\]\[13\],13.28
rs_inst.vj_arr\[5\]\[20\],13.26
rs_inst.vj_arr\[1\]\[12\],13.18
_0460_,13.1
_1049_,13.08
_0590_,13.04
rs_inst.vj_arr\[0\]\[30\],13.04
rs_inst.vj_arr\[7\]\[1\],13.04
rs_inst.vj_arr\[4\]\[15\],12.96
cdb_inst.alu_value\[16\],12.94
rs_inst.vj_arr\[5\]\[19\],12.92
rs_inst.vj_arr\[7\]\[0\],12.92
_1216_,12.88
rs_inst.vj_arr\[1\]\[29\],12.88
rs_inst.vj_arr\[3\]\[28\],12.88
rs_inst.vj_arr\[7\]\[31\],12.8
_0672_,12.76
_0944_,12.76
rs_inst.vj_arr\[2\]\[8\],12.76
cdb_inst.alu_value\[20\],12.72
net316,12.7
rs_inst.vj_arr\[1\]\[26\],12.66
_1161_,12.62
rs_inst.vj_arr\[7\]\[20\],12.6
_0416_,12.58
cdb_inst.alu_value\[4\],12.58
rs_inst.vj_arr\[6\]\[0\],12.56
rs_inst.vj_arr\[5\]\[22\],12.48
rs_inst.vj_arr\[4\]\[0\],12.46
_0909_,12.38
net329,12.38
_0998_,12.32
_0598_,12.24
_0764_,12.24
_1058_,12.2
_0727_,12.18
_1033_,12.18
_0502_,12.16
dmem_addr[17],12.16
net220,12.16
_0509_,12.14
_0845_,12.14
rs_inst.vj_arr\[3\]\[0\],12.12
_1158_,12.1
_0489_,12.04
_0742_,12.04
rs_inst.vj_arr\[5\]\[14\],12.04
rs_inst.vj_arr\[4\]\[3\],11.92
_0952_,11.84
rs_inst.vj_arr\[2\]\[15\],11.84
_0354_,11.805
rs_inst.vj_arr\[0\]\[12\],11.8
rs_inst.vj_arr\[0\]\[25\],11.8
_0553_,11.78
_0243_,11.765
rs_inst.vj_arr\[1\]\[2\],11.68
_0745_,11.62
_0658_,11.58
_0846_,11.56
cdb_inst.alu_value\[9\],11.54
_0422_,11.48
rs_inst.vj_arr\[5\]\[10\],11.46
rs_inst.vj_arr\[0\]\[6\],11.42
_0040_,11.405
_0389_,11.38
_0514_,11.36
_0695_,11.36
_1022_,11.32
rs_inst.vj_arr\[0\]\[7\],11.32
rs_inst.vj_arr\[1\]\[3\],11.32
_0129_,11.28
_0582_,11.28
_0393_,11.24
rs_inst.vj_arr\[0\]\[14\],11.24
cdb_inst.alu_value\[19\],11.23
rs_inst.vj_arr\[0\]\[8\],11.22
rs_inst.vj_arr\[5\]\[26\],11.22
rs_inst.vj_arr\[4\]\[29\],11.2
rs_inst.vj_arr\[7\]\[29\],11.2
rs_inst.vj_arr\[3\]\[27\],11.18
_0699_,11.16
_0865_,11.16
_0253_,11.145
rs_inst.vj_arr\[1\]\[1\],11.1
rs_inst.vj_arr\[5\]\[7\],11.1
_0780_,11.08
rs_inst.vj_arr\[3\]\[24\],11.08
rs_inst.vj_arr\[4\]\[7\],11.08
rs_inst.vj_arr\[7\]\[12\],11.04
clknet_leaf_28_clk,11
net277,11
_0468_,10.98
_0348_,10.965
rs_inst.vj_arr\[6\]\[21\],10.96
_0575_,10.92
cdb_inst.alu_value\[6\],10.92
_0851_,10.9
_0521_,10.86
cycle_counter\[1\],10.86
_1095_,10.84
_0589_,10.8
rs_inst.vj_arr\[7\]\[8\],10.79
_0482_,10.78
_0688_,10.78
rs_inst.vj_arr\[0\]\[21\],10.78
rs_inst.vj_arr\[7\]\[22\],10.74
rs_inst.vj_arr\[6\]\[18\],10.72
_1143_,10.7
rs_inst.vj_arr\[3\]\[7\],10.62
net253,10.58
_0500_,10.56
_0831_,10.54
_0194_,10.505
rs_inst.vj_arr\[6\]\[10\],10.5
_0211_,10.485
_0470_,10.48
_0684_,10.46
_0995_,10.46
_1214_,10.44
net298,10.4
_0248_,10.385
net297,10.38
_0741_,10.34
_0882_,10.34
rs_inst.vj_arr\[2\]\[4\],10.34
_0127_,10.32
_0938_,10.32
_0892_,10.28
rs_inst.vj_arr\[6\]\[4\],10.26
_0996_,10.24
_1024_,10.24
_0836_,10.22
cdb_inst.alu_value\[10\],10.22
_1038_,10.18
rs_inst.vj_arr\[3\]\[15\],10.18
_1101_,10.16
_0329_,10.145
rs_inst.vj_arr\[6\]\[17\],10.14
rs_inst.vj_arr\[6\]\[22\],10.12
_0786_,10.08
rs_inst.vj_arr\[5\]\[4\],10.08
_0559_,10.06
_1089_,10.06
rs_inst.vj_arr\[1\]\[13\],10.04
_0532_,10
_0518_,9.98
_0776_,9.98
_1220_,9.98
rs_inst.vj_arr\[0\]\[23\],9.98
net199,9.98
_0917_,9.96
rs_inst.vj_arr\[5\]\[9\],9.96
rs_inst.vj_arr\[1\]\[14\],9.94
cdb_inst.alu_value\[17\],9.92
_0901_,9.9
rs_inst.vj_arr\[5\]\[12\],9.9
_0398_,9.86
dmem_addr[10],9.86
dmem_addr[11],9.86
dmem_addr[14],9.86
dmem_addr[16],9.86
net267,9.86
